PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
22584750;61055975;1;1;null;1;
22584750;61056150;1;1;1;null;
22584750;61055975;2;2;null;2;
22584750;61056150;2;2;2;null;
22584750;61055975;1;3;null;3;
22584750;61056150;1;3;3;null;
22584750;61055975;2;4;null;4;
22584750;61056150;2;4;4;null;
22584750;61055975;1;5;null;5;
22584750;61056150;1;5;5;null;
22584750;61055975;2;6;null;6;
22584750;61056150;2;6;6;null;
22584750;61055975;1;7;null;7;
22584750;61056150;1;7;7;null;
22584750;61055975;2;8;null;8;
22584750;61056150;2;8;8;null;
22584750;61055975;1;9;null;9;
22584750;61056150;1;9;9;null;
22584750;61055975;2;10;null;10;
22584750;61056150;2;10;10;null;
22584750;61056150;1;11;null;null;
22584750;61056150;2;12;null;null;
