Sample;Metric;Threshold;PostId;PostHistoryId;RuntimeText;TextBlockCount;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;RuntimeCode;CodeBlockCount;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode
TestManager;cosineTwoShingleNormalizedBool;0.5;3758880;15577610;0.0;null;null;null;null;null;9375000.0;2;2;0;2;0
TestManager;cosineTwoShingleNormalizedBool;0.5;3758880;24534909;0.0;null;null;null;null;null;9375000.0;2;2;0;2;0
TestManager;cosineTwoShingleNormalizedBool;0.5;3758880;130380462;0.0;null;null;null;null;null;9375000.0;2;2;0;2;0
TestManager;cosineFourGramNormalizedBool;0.8;22037280;58996741;1.5625E7;3;0;0;0;0;0.0;2;0;0;0;0
TestManager;cosineFourGramNormalizedBool;0.8;22037280;58997388;1.5625E7;3;2;0;6;1;0.0;2;2;0;2;0
TestManager;cosineFourGramNormalizedBool;0.8;22037280;59004094;1.5625E7;3;2;0;6;1;0.0;2;2;0;2;0
TestManager;cosineFourGramNormalizedBool;0.8;22037280;59078493;1.5625E7;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;cosineFourGramNormalizedBool;0.8;22037280;60329723;1.5625E7;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;cosineFourGramNormalizedBool;0.8;22037280;69262919;1.5625E7;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;cosineFourGramNormalizedBool;0.8;22037280;147248795;1.5625E7;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;fiveGramDice;0.7;3758880;7873162;0.0;3;0;0;0;0;3125000.0;3;0;0;0;0
TestManager;fiveGramDice;0.7;3758880;7873319;0.0;2;1;0;5;0;3125000.0;2;2;0;4;0
TestManager;fiveGramDice;0.7;3758880;7873489;0.0;2;1;0;2;1;3125000.0;2;1;0;2;1
TestManager;fiveGramDice;0.7;3758880;7873581;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramDice;0.7;3758880;7874248;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramDice;0.7;3758880;7874570;0.0;2;2;0;2;0;3125000.0;2;1;0;2;1
TestManager;fiveGramDice;0.7;3758880;7874704;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramDice;0.7;3758880;7875126;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramDice;0.7;3758880;15577610;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramDice;0.7;3758880;24534909;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramDice;0.7;3758880;130380462;0.0;3;2;0;4;0;3125000.0;2;2;0;2;0
TestManager;fiveGramJaccardNormalizedPadding;0.3;3758880;7873162;0.0;3;0;0;0;0;3125000.0;3;0;0;0;0
TestManager;fiveGramJaccardNormalizedPadding;0.3;3758880;7873319;0.0;2;1;0;5;0;3125000.0;2;2;0;4;0
TestManager;fiveGramJaccardNormalizedPadding;0.3;3758880;7873489;0.0;2;1;0;2;1;3125000.0;2;1;0;2;1
TestManager;fiveGramJaccardNormalizedPadding;0.3;3758880;7873581;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramJaccardNormalizedPadding;0.3;3758880;7874248;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramJaccardNormalizedPadding;0.3;3758880;7874570;0.0;2;2;0;2;0;3125000.0;2;1;0;2;1
TestManager;fiveGramJaccardNormalizedPadding;0.3;3758880;7874704;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramJaccardNormalizedPadding;0.3;3758880;7875126;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramJaccardNormalizedPadding;0.3;3758880;15577610;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramJaccardNormalizedPadding;0.3;3758880;24534909;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramJaccardNormalizedPadding;0.3;3758880;130380462;0.0;3;2;0;4;0;3125000.0;2;2;0;2;0
TestManager;twoGramDice;0.5;22037280;58996741;6250000.0;3;0;0;0;0;0.0;2;0;0;0;0
TestManager;twoGramDice;0.5;22037280;58997388;6250000.0;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;twoGramDice;0.5;22037280;59004094;6250000.0;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;twoGramDice;0.5;22037280;59078493;6250000.0;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;twoGramDice;0.5;22037280;60329723;6250000.0;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;twoGramDice;0.5;22037280;69262919;6250000.0;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;twoGramDice;0.5;22037280;147248795;6250000.0;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;threeShingleOverlapNormalized;0.9;3758880;7873162;0.0;null;null;null;null;null;6250000.0;3;0;0;0;0
TestManager;threeShingleOverlapNormalized;0.9;3758880;7873319;0.0;null;null;null;null;null;6250000.0;2;2;0;4;0
TestManager;threeShingleOverlapNormalized;0.9;3758880;7873489;0.0;null;null;null;null;null;6250000.0;2;0;0;2;2
